posto,ano,pico,duracao,volume
ernestina,1941,497.1,8,235.42
ernestina,1942,175.4,2,42.13
ernestina,1943,66.2,0,0.0
ernestina,1944,156.4,2,34.96
ernestina,1945,81.2,0,0.0
ernestina,1946,189.2,3,59.96
ernestina,1947,102.3,1,17.68
ernestina,1948,164.4,2,39.57
ernestina,1949,98.2,1,16.97
ernestina,1950,367.8,2,77.72
ernestina,1951,83.6,1,14.45
ernestina,1952,82.4,1,14.24
ernestina,1953,215.2,9,132.36
ernestina,1954,228.2,6,104.25
ernestina,1955,143.5,1,24.8
ernestina,1956,284.6,2,71.2
ernestina,1957,237.7,2,52.63
ernestina,1958,268.4,3,71.27
ernestina,1959,232.3,2,50.51
ernestina,1960,143.3,1,24.76
ernestina,1961,306.0,4,108.55
ernestina,1962,43.9,0,0.0
ernestina,1963,201.4,3,61.44
ernestina,1964,162.8,2,38.34
ernestina,1965,190.1,4,77.75
ernestina,1966,190.4,4,65.06
ernestina,1967,206.6,3,61.31
ernestina,1968,79.6,0,0.0
ernestina,1969,73.1,0,0.0
ernestina,1970,153.0,1,26.44
ernestina,1971,265.3,2,55.95
ernestina,1972,399.0,8,184.74
ernestina,1973,212.6,3,65.07
ernestina,1974,231.0,2,51.44
ernestina,1975,239.6,3,73.43
ernestina,1976,146.5,2,35.23
ernestina,1977,232.2,2,50.75
ernestina,1978,242.6,2,55.4
ernestina,1979,362.4,4,113.24
ernestina,1980,188.2,2,42.35
ernestina,1981,95.0,1,16.42
ernestina,1982,341.7,2,74.47
ernestina,1983,355.4,3,97.5
ernestina,1984,421.5,2,86.57
ernestina,1985,189.4,2,41.18
ernestina,1986,235.4,4,79.45
ernestina,1987,437.4,3,109.45
ernestina,1988,193.7,2,41.23
ernestina,1989,463.8,4,132.31
ernestina,1990,439.2,3,114.63
ernestina,1991,122.4,1,21.15
ernestina,1992,595.7,3,151.05
ernestina,1993,231.8,2,53.54
ernestina,1994,267.3,2,60.47
ernestina,1995,217.7,2,53.06
ernestina,1996,293.2,2,62.19
ernestina,1997,624.2,10,320.68
ernestina,1998,480.0,6,144.23
ernestina,1999,82.4,1,14.24
ernestina,2000,334.9,3,84.56
ernestina,2001,496.5,4,137.76
ernestina,2002,290.2,3,76.36
ernestina,2003,409.5,3,109.69
ernestina,2004,102.9,1,17.78
ernestina,2005,513.1,4,149.52
ernestina,2006,156.0,1,26.96
ernestina,2007,551.7,3,133.57
ernestina,2008,435.0,3,104.1
ernestina,2009,444.7,5,158.79
ernestina,2010,337.1,2,69.7
ernestina,2011,791.0,5,219.54
ernestina,2012,246.3,2,51.62
ernestina,2013,463.5,3,112.27
ernestina,2014,419.0,2,83.76
ernestina,2015,542.7,2,103.67
ernestina,2016,698.0,3,163.51
ernestina,2017,817.6,2,155.22
ernestina,2018,446.2,1,77.1
ernestina,2019,311.1,6,117.19
ernestina,2020,748.1,4,217.77
ernestina,2021,183.5,1,31.71
ernestina,2022,694.1,4,150.23
ernestina,2023,1570.8,2,300.01
passo_real,1941,3130.5,14,2541.51
passo_real,1942,1488.0,3,459.96
passo_real,1943,688.8,2,173.84
passo_real,1944,1258.1,3,361.75
passo_real,1945,777.2,2,194.32
passo_real,1946,986.8,1,170.52
passo_real,1947,931.0,2,213.43
passo_real,1948,1099.8,2,253.92
passo_real,1949,793.3,1,137.08
passo_real,1950,2255.9,3,630.78
passo_real,1951,733.2,2,185.27
passo_real,1952,593.8,0,0.0
passo_real,1953,1794.1,13,1357.43
passo_real,1954,1800.4,5,649.82
passo_real,1955,1246.1,2,292.44
passo_real,1956,2212.6,3,587.17
passo_real,1957,1335.8,2,290.91
passo_real,1958,1994.6,3,541.4
passo_real,1959,1801.7,3,552.14
passo_real,1960,1301.4,2,276.68
passo_real,1961,3173.1,9,1617.17
passo_real,1962,638.0,1,110.25
passo_real,1963,1509.1,2,346.03
passo_real,1964,1091.0,2,240.78
passo_real,1965,1782.0,4,605.26
passo_real,1966,1747.0,2,403.25
passo_real,1967,1932.1,16,1528.36
passo_real,1968,535.4,0,0.0
passo_real,1969,562.6,0,0.0
